"spa-type";"Year";"Animals (N)";"Total_animal";"Food (N)";"Total_food"
"t1430";2024;NA;0;"Meat from turkey(5)";5
"t1430";2023;NA;0;"Meat from pig(5)";5
"t127";2024;NA;0;"Crustaceans(3)";3
"t127";2023;NA;0;"Meat from pig(1)";1
"t002";2023;NA;0;"Meat from bovine animals(4)";4
"t008";2024;NA;0;"Crustaceans(2)";2
"t008";2023;NA;0;"Meat from bovine animals(1), Meat from pig(1)";2
"t001";2024;NA;0;"Meat from broilers (Gallus gallus)(1), Meat from turkey(1)";2
"t045";2024;NA;0;"Meat from broilers (Gallus gallus)(1), Meat from turkey(1)";2
"t10204";2023;"Pigs(1)";1;NA;0
"t1419";2023;NA;0;"Meat from pig(1)";1
"t1422";2024;NA;0;"Meat from turkey(1)";1
"t149";2024;NA;0;"Meat from broilers (Gallus gallus)(1)";1
"t177";2024;"Cattle (bovine animals)(1)";1;NA;0
"t20072";2023;NA;0;"Meat from pig(1)";1
"t022";2024;NA;0;"Meat from broilers (Gallus gallus)(1)";1
"t3512";2023;NA;0;"Meat from pig(1)";1
"t693";2023;NA;0;"Meat from pig(1)";1
"t899";2023;NA;0;"Meat from pig(1)";1
"t9338";2024;NA;0;"Meat from broilers (Gallus gallus)(1)";1
